1040k  223.12.113.32:8083
1039k  223.10.39.207:8082
1024k  223.12.113.32:8084
989k  223.10.39.207:8083
791k  1.70.32.106:8082
783k  223.12.113.32:8082
730k  1.70.32.106:8083
717k  1.70.32.106:8085
712k  1.70.32.106:8084
695k  110.178.52.91:8083
667k  1.70.34.145:8083
655k  1.70.34.145:8084
610k  1.70.34.145:8082
586k  1.70.34.145:8085
534k  110.178.52.91:8085
523k  110.178.52.91:8082
457k  1.70.32.208:8083
322k  1.70.32.208:8082
280k  1.70.32.208:8085
261k  1.70.32.208:8084
194k  223.10.15.7:8085
193k  223.10.15.7:8083
188k  223.10.15.7:8082
182k  223.10.15.7:8084
174k  110.178.52.208:8085
140k  110.178.52.208:8083
133k  110.178.52.208:8082
